model,fpr,tpr,threshold,roc_auc
logistic_regression,0.019929140832595216,0.3309462915601023,0.8857831291376128,0.8258292765251825
logistic_regression,0.02037201062887511,0.3309462915601023,0.8852857106725757,0.8258292765251825
logistic_regression,0.02037201062887511,0.33145780051150897,0.8846682382581695,0.8258292765251825
logistic_regression,0.02103631532329495,0.33145780051150897,0.8838262768737927,0.8258292765251825
logistic_regression,0.02103631532329495,0.3391304347826087,0.8793828275092404,0.8258292765251825
logistic_regression,0.021257750221434897,0.3391304347826087,0.8792755044972469,0.8258292765251825
logistic_regression,0.021257750221434897,0.3411764705882353,0.8775155636157852,0.8258292765251825
logistic_regression,0.021479185119574844,0.3411764705882353,0.8775012812261525,0.8258292765251825
logistic_regression,0.021479185119574844,0.3416879795396419,0.8774669767988849,0.8258292765251825
logistic_regression,0.021700620017714792,0.3416879795396419,0.877259140419496,0.8258292765251825
logistic_regression,0.021700620017714792,0.3452685421994885,0.8754961906160464,0.8258292765251825
logistic_regression,0.02192205491585474,0.3452685421994885,0.8754050098755541,0.8258292765251825
logistic_regression,0.02192205491585474,0.34987212276214835,0.8736361475684132,0.8258292765251825
logistic_regression,0.022143489813994686,0.34987212276214835,0.8731338638821733,0.8258292765251825
logistic_regression,0.022143489813994686,0.3514066496163683,0.8725196857778665,0.8258292765251825
logistic_regression,0.022586359610274578,0.3514066496163683,0.8722131422951322,0.8258292765251825
logistic_regression,0.022586359610274578,0.3524296675191816,0.8717619827692457,0.8258292765251825
logistic_regression,0.023029229406554472,0.3524296675191816,0.8714326445120929,0.8258292765251825
logistic_regression,0.023029229406554472,0.35396419437340154,0.8708569705811569,0.8258292765251825
logistic_regression,0.02325066430469442,0.35396419437340154,0.8707501042888827,0.8258292765251825
logistic_regression,0.02325066430469442,0.3565217391304348,0.8699807600955138,0.8258292765251825
logistic_regression,0.023472099202834367,0.3565217391304348,0.8699805665064604,0.8258292765251825
logistic_regression,0.023472099202834367,0.3585677749360614,0.8690863231474033,0.8258292765251825
logistic_regression,0.023693534100974314,0.3585677749360614,0.868890172686673,0.8258292765251825
logistic_regression,0.023693534100974314,0.3595907928388747,0.8674825196999282,0.8258292765251825
logistic_regression,0.023914968999114262,0.3595907928388747,0.8666715347540508,0.8258292765251825
logistic_regression,0.023914968999114262,0.36061381074168797,0.8659757303631586,0.8258292765251825
logistic_regression,0.024136403897254206,0.36061381074168797,0.8656738334536054,0.8258292765251825
logistic_regression,0.024136403897254206,0.36163682864450125,0.8654006869353902,0.8258292765251825
logistic_regression,0.024357838795394153,0.36163682864450125,0.8652427564557503,0.8258292765251825
logistic_regression,0.024357838795394153,0.36419437340153454,0.8641891487614274,0.8258292765251825
logistic_regression,0.0245792736935341,0.36419437340153454,0.8638748490462999,0.8258292765251825
logistic_regression,0.0245792736935341,0.3667519181585678,0.8608256514244488,0.8258292765251825
logistic_regression,0.024800708591674048,0.3667519181585678,0.8601459025993055,0.8258292765251825
logistic_regression,0.024800708591674048,0.36777493606138106,0.8585989266109797,0.8258292765251825
logistic_regression,0.025022143489813995,0.36777493606138106,0.8584531966380153,0.8258292765251825
logistic_regression,0.025022143489813995,0.3698209718670077,0.857703632277225,0.8258292765251825
logistic_regression,0.025243578387953942,0.3698209718670077,0.8573425708203051,0.8258292765251825
logistic_regression,0.025243578387953942,0.37084398976982097,0.85715053404287,0.8258292765251825
logistic_regression,0.02546501328609389,0.37084398976982097,0.8569732060939693,0.8258292765251825
logistic_regression,0.02546501328609389,0.37442455242966755,0.8551787475610682,0.8258292765251825
logistic_regression,0.026350752878653676,0.37442455242966755,0.8535483304030479,0.8258292765251825
logistic_regression,0.026350752878653676,0.3774936061381074,0.8528359112783859,0.8258292765251825
logistic_regression,0.026572187776793623,0.3774936061381074,0.8513698960181588,0.8258292765251825
logistic_regression,0.026572187776793623,0.37800511508951407,0.8513389211844405,0.8258292765251825
logistic_regression,0.02679362267493357,0.37800511508951407,0.8511910637826303,0.8258292765251825
logistic_regression,0.02679362267493357,0.3800511508951407,0.8500170685569185,0.8258292765251825
logistic_regression,0.027015057573073518,0.3800511508951407,0.8498433315332822,0.8258292765251825
logistic_regression,0.027015057573073518,0.3805626598465473,0.8496383022727205,0.8258292765251825
logistic_regression,0.02723649247121346,0.3805626598465473,0.8493236649169488,0.8258292765251825
logistic_regression,0.02723649247121346,0.3846547314578005,0.8469518926904182,0.8258292765251825
logistic_regression,0.02745792736935341,0.3846547314578005,0.8466992748455541,0.8258292765251825
logistic_regression,0.02745792736935341,0.38823529411764707,0.8437871104227768,0.8258292765251825
logistic_regression,0.027679362267493356,0.38823529411764707,0.8436477124665741,0.8258292765251825
logistic_regression,0.027679362267493356,0.3948849104859335,0.8397819335789545,0.8258292765251825
logistic_regression,0.027900797165633304,0.3948849104859335,0.8397485352960385,0.8258292765251825
logistic_regression,0.027900797165633304,0.3969309462915601,0.8391237490593446,0.8258292765251825
logistic_regression,0.02812223206377325,0.3969309462915601,0.8387646387708979,0.8258292765251825
logistic_regression,0.02812223206377325,0.4010230179028133,0.8360316806106892,0.8258292765251825
logistic_regression,0.028565101860053146,0.4010230179028133,0.8353102543636302,0.8258292765251825
logistic_regression,0.028565101860053146,0.40255754475703326,0.8344223092098229,0.8258292765251825
logistic_regression,0.02878653675819309,0.40255754475703326,0.8337220336774401,0.8258292765251825
logistic_regression,0.02878653675819309,0.4061381074168798,0.8332506768643331,0.8258292765251825
logistic_regression,0.029007971656333037,0.4061381074168798,0.8329770914373278,0.8258292765251825
logistic_regression,0.029007971656333037,0.4117647058823529,0.8296411922696385,0.8258292765251825
logistic_regression,0.02945084145261293,0.4117647058823529,0.827568364103666,0.8258292765251825
logistic_regression,0.02945084145261293,0.4122762148337596,0.8268635569728066,0.8258292765251825
logistic_regression,0.030115146147032774,0.4122762148337596,0.8256739786882379,0.8258292765251825
logistic_regression,0.030115146147032774,0.4132992327365729,0.8251176154614072,0.8258292765251825
logistic_regression,0.030336581045172718,0.4132992327365729,0.8250968255014206,0.8258292765251825
logistic_regression,0.030336581045172718,0.41381074168797954,0.8250434115263571,0.8258292765251825
logistic_regression,0.030558015943312665,0.41381074168797954,0.8250288920466986,0.8258292765251825
logistic_regression,0.030558015943312665,0.4158567774936061,0.8219284056077791,0.8258292765251825
logistic_regression,0.030779450841452612,0.4158567774936061,0.8217814774683936,0.8258292765251825
logistic_regression,0.030779450841452612,0.41790281329923273,0.8180064140011719,0.8258292765251825
logistic_regression,0.03100088573959256,0.41790281329923273,0.8179780811711027,0.8258292765251825
logistic_regression,0.03100088573959256,0.41994884910485936,0.8157701211643323,0.8258292765251825
logistic_regression,0.031222320637732507,0.41994884910485936,0.8156392160050014,0.8258292765251825
logistic_regression,0.031222320637732507,0.4235294117647059,0.8126062431344449,0.8258292765251825
logistic_regression,0.031443755535872454,0.4235294117647059,0.8126006084401107,0.8258292765251825
logistic_regression,0.031443755535872454,0.4260869565217391,0.8097341592270049,0.8258292765251825
logistic_regression,0.0316651904340124,0.4260869565217391,0.8089722799497531,0.8258292765251825
logistic_regression,0.0316651904340124,0.42710997442455245,0.808361417487521,0.8258292765251825
logistic_regression,0.032329495128432244,0.42710997442455245,0.8072939209492891,0.8258292765251825
